ID,BUSINESS_UNIT,ASSET,LATITUDE,LONGITUDE,DTM,FACILITY_ID,ENBASE_ASSET_ID,MISSION_NUM,ANOMALY_TYPE,ANOMALY_DESC
1603,LaHa,LaHa,32.25103706,-93.45669827,1969-12-31 18:00:00.000,10085661,Asset-Well-13197832,95,1,Thief Hatch Open
638,LaHa,LaHa,32.34382109,-93.51539942,2019-02-12 12:38:46.000,10085370,Asset-Well-14330428,27,1,Thief Hatch Open
499,Eagle Ford,Hawkville,28.30400843,-98.92292717,2019-04-26 12:01:50.000,10085493,Asset-Well-13169826,8,1,Thief Hatch Open
508,LaHa,LaHa,31.90429507,-93.54650956,2019-04-30 10:19:00.000,10085610,Asset-Well-13918861,10,1,Thief Hatch Open
509,LaHa,LaHa,31.99161235,-93.45888679,2019-04-30 14:22:00.000,10086071,Asset-Well-13926814,10,1,Thief Hatch Open
510,LaHa,LaHa,31.99189238,-93.37800128,2019-04-30 15:31:00.000,10085666,Asset-Well-13970743,10,1,Thief Hatch Open
511,LaHa,LaHa,32.03506611,-93.41252345,2019-04-30 17:10:00.000,10085634,Asset-Well-10946577,10,1,Thief Hatch Open
495,LaHa,LaHa,32.13719791,-93.73955201,2019-05-03 10:13:00.000,10085645,Asset-Well-13749055,10,1,Thief Hatch Open
496,Permian,Permian,31.87007886,-103.9898673,2019-05-05 12:24:39.000,10085514,Asset-Well-13681030,11,1,Thief Hatch Open
498,LaHa,LaHa,32.25194159,-93.50579663,2019-05-07 08:49:00.000,10085567,Asset-Well-13018622,10,1,Thief Hatch Open
497,Eagle Ford,Hawkville,28.28599163,-99.16347751,2019-05-09 09:24:00.000,10085782,Asset-Well-13166841,8,1,Thief Hatch Open
500,EAST,SOHA,31.48181277,-94.25608397,2019-05-13 11:07:00.000,10021199,asset-PR_WELL|603D1DF120703762E0530100007F0555,12,1,Thief Hatch Open
502,Eagle Ford,Hawkville,28.18006742,-99.19288668,2019-05-13 13:58:00.000,10085655,Asset-Well-13152392,8,1,Thief Hatch Open
501,EAST,SOHA,31.40116454,-94.58041488,2019-05-14 10:11:00.000,10084621,Asset-Well-14384753-000,12,1,Thief Hatch Open
503,LaHa,LaHa,32.13459343,-93.42605557,2019-05-15 13:04:00.000,10086110,Asset-Well-13936044,10,1,Thief Hatch Open
504,LaHa,LaHa,32.32444769,-93.52252767,2019-05-21 08:21:00.000,10085621,Asset-Well-11534630,10,1,Thief Hatch Open
505,LaHa,LaHa,32.3677574,-93.5917242,2019-05-23 10:54:00.000,10086130,Asset-Well-14341922,10,1,Thief Hatch Open
506,LaHa,LaHa,32.3525886,-93.48339438,2019-05-23 14:17:00.000,10085677,Asset-Well-13458574,10,1,Thief Hatch Open
507,LaHa,LaHa,32.39449687,-93.52181701,2019-05-24 09:57:00.000,10085379,Asset-Well-13196601,10,1,Thief Hatch Open
512,LaHa,LaHa,32.15263515,-93.9343365,2019-05-29 15:49:00.000,10085672,Asset-Well-13246284,10,1,Thief Hatch Open
514,Eagle Ford,Hawkville,28.36171891,-98.98923246,2019-05-30 14:51:00.000,10085388,Asset-Well-13750947,13,1,Thief Hatch Open
515,Eagle Ford,Hawkville,28.30398967,-98.92268704,2019-05-31 11:19:00.000,10085493,Asset-Well-13169826,13,1,Thief Hatch Open
516,Eagle Ford,Hawkville,28.25783181,-99.05883568,2019-05-31 12:41:00.000,10085648,Asset-Well-13199184,13,1,Thief Hatch Open
517,Eagle Ford,Hawkville,28.28660241,-98.97949544,2019-06-03 14:10:00.000,10086046,Asset-Well-12954621,13,1,Thief Hatch Open
513,EAST,SOHA,31.47712966,-94.29019266,2019-06-03 19:24:00.000,10025218,Asset-Well-14248578-000,14,1,Thief Hatch Open
520,Eagle Ford,Hawkville,28.31966735,-99.00483189,2019-06-04 09:34:00.000,10085437,Asset-Well-13480256,13,1,Thief Hatch Open
521,Eagle Ford,Hawkville,28.31938094,-98.99772853,2019-06-04 10:02:00.000,10085505,Asset-Well-13584225,13,1,Thief Hatch Open
518,LaHa,LaHa,32.15271626,-93.93428267,2019-06-06 14:32:42.000,10085672,Asset-Well-13246284,15,1,Thief Hatch Open
519,LaHa,LaHa,32.13703851,-93.96137996,2019-06-06 16:13:38.000,10085443,Asset-Well-13957792,15,1,Thief Hatch Open
596,LaHa,LaHa,32.37997475,-93.55219427,2019-06-09 09:30:07.000,10085757,Asset-Well-13107626,21,1,Thief Hatch Open
522,LaHa,LaHa,31.93344105,-93.75979184,2019-06-11 14:50:42.000,10085638,Asset-Well-13220943,15,1,Thief Hatch Open
523,LaHa,LaHa,31.72841385,-93.64255273,2019-06-11 17:44:14.000,10085818,Asset-Well-13428646,15,1,Thief Hatch Open
524,LaHa,LaHa,31.81518554,-93.79222743,2019-06-12 11:03:00.000,10085409,Asset-Well-10946548,15,1,Thief Hatch Open
525,LaHa,LaHa,31.8006484,-93.77067041,2019-06-12 12:35:00.000,10085404,Asset-Well-13538487,15,1,Thief Hatch Open
