SubmitDate,VisibleFlare,ThiefHatchClosed,OpenThiefHatchClosed,IssueDetail,BusinessUnit,FACILITY_ID
2023-01-25 19:49:02.107000000,"No, one or more flares are not lit.",,,Well is open flare not lit. There is a technician working on flare ,Permian,10085539
2023-01-31 17:12:30.443000000,"No, one or more flares are not lit.",,,Wells are shut in,Permian,10085679
2023-01-25 13:52:59.090000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10213847
2023-01-21 14:24:27.293000000,"No, one or more flares are not lit.",,,Well is shut-in ,Permian,10085552
2023-01-28 15:06:19.840000000,"No, one or more flares are not lit.",,,LP flare from heater treater not lit / Notified BOX representative ,Permian,10085556
2023-01-20 20:23:03.897000000,"No, one or more flares are not lit.",,,"Well is flowing. Gas to flare, but flare are is not lit",Permian,10085547
2023-01-31 17:08:08.570000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085615
2023-01-26 14:20:32.203000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085552
2023-01-24 15:52:40.553000000,"No, one or more flares are not lit.",,,HS State 114-24 A flare not lit due to wells being shut in.,Permian,10085814
2023-01-21 00:45:12.500000000,"No, one or more flares are not lit.",,,Flare is not lit.,Permian,10086104
2023-01-29 14:17:40.653000000,"No, one or more flares are not lit.",,,Wells shut in and locked out. Tank hatches are closed. ,Permian,10086103
2023-01-28 13:40:19.907000000,"No, one or more flares are not lit.",,,"Well shut in, facility under construction ",Permian,10085986
2023-01-27 14:21:27.147000000,"No, one or more flares are not lit.",,,Wells shut in and locked out. Tank hatches are closed. ,Permian,10086103
2023-01-30 17:52:05.120000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086086
2023-01-29 13:40:54.187000000,"No, one or more flares are not lit.",,,Well is shut in facility is under construction ,Permian,10085986
2023-01-26 18:34:21.417000000,"No, one or more flares are not lit.",,,Wells open flare just venting to atmosphere. Notified bpx rep. ,Permian,10085516
2023-01-25 14:00:06.700000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085680
2023-01-21 13:45:18.383000000,"No, one or more flares are not lit.",,,"Well is shut-in and locked out, facility is under construction ",Permian,10085767
2023-01-24 15:03:21.890000000,"No, one or more flares are not lit.",,,Well is shut in / LOTO,Permian,10085528
2023-01-30 14:46:08.470000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085552
2023-01-25 15:45:43.010000000,"No, one or more flares are not lit.",,,HS State 114-24 A flare not lit due to well being shut in. ,Permian,10085814
2023-01-20 21:30:55.217000000,"No, one or more flares are not lit.",,,Flare was not lit operator on location working on it ,Permian,10094676
2023-01-26 15:49:19.570000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085744
2023-01-29 13:30:18.250000000,"No, one or more flares are not lit.",,,Well is shut in. Facility is under construction ,Permian,10085508
2023-01-28 13:22:43.760000000,"No, one or more flares are not lit.",,,"Well shut in, facility under construction ",Permian,10085508
2023-01-29 15:43:38.597000000,"No, one or more flares are not lit.",,,Flare not lit due to well being shut in ,Permian,10085554
2023-01-20 19:27:16.663000000,"No, one or more flares are not lit.",,,"Gas flowing to flare, but is not lit.",Permian,10085553
2023-01-24 18:42:59.743000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed ,Permian,10086086
2023-01-26 15:08:52.670000000,"No, one or more flares are not lit.",,,Well is shut in,Permian,10085529
2023-01-30 16:29:33.797000000,"No, one or more flares are not lit.",,,Wells are shut in ,Permian,10600022
2023-01-20 20:34:36.060000000,"Yes, all flares are lit.","No, one or more of the thief hatches are open or unlatched.","Yes, hatch was closed.",,Permian,10085516
2023-01-22 18:31:24.387000000,"No, one or more flares are not lit.",,,Well is shut in and locked out. Tank hatches are closed. ,Permian,10085770
2023-01-26 18:21:18.950000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10086086
2023-01-28 19:42:51.473000000,"No, one or more flares are not lit.",,,Well shut in and locked out. Tank hatches are closed. ,Permian,10086085
2023-01-30 17:04:37.490000000,"No, one or more flares are not lit.",,,Well shut in. Tank hatches are closed. ,Permian,10085615
2023-01-26 13:20:20.563000000,"No, one or more flares are not lit.",,,Well is shut in ,Permian,10085508
2023-01-22 13:45:52.043000000,"No, one or more flares are not lit.",,,Well is shut in and facility is under construction ,Permian,10085767
